Protein1 Protein2 tmscore tmscore-CP
1fp3A 1vd5A 0.67760 0.67760
1fp3A 1wu4A 0.67768 0.67887
1fp3A 2drqA 0.67558 0.67691
1fp3A 1wu6A 0.67434 0.67558
1fp3A 1hzfA 0.54695 0.55763
1fp3A 1ks8A 0.63233 0.69125
1nc5A 2drqA 0.65850 0.66306
1nc5A 1ghqA 0.58885 0.64552
1nc5A 1c3dA 0.57529 0.62801
1nc5A 1qqfA 0.53718 0.59195
1v5cA 1fo2A 0.65778 0.67728
1vd5A 2afaA 0.73364 0.73364
1vd5A 1ghqA 0.57596 0.61819
1vd5A 2nvpA 0.61825 0.62826
1wzzA 2ahfA 0.74067 0.74067
1wzzA 1kktA 0.69636 0.69412
1wzzA 2h6gB 0.62184 0.56706
1wzzA 1ks8A 0.62796 0.67413
2ahfA 1fp3A 0.71519 0.71519
2ahfA 2afaA 0.73321 0.73321
2ahfA 1ghqA 0.57578 0.61872
2ahfA 1qqfA 0.53496 0.56075
2gh4A 1hzfA 0.59563 0.64756
2gh4A 1gszA 0.69203 0.69203
2gh4A 1c3dA 0.57534 0.62831
2gh4A 1qqfA 0.53695 0.59287
2sqcA 1kwfA 0.41481 0.41481
1a22A 2ffxJ 0.41235 0.53224
1a22A 1gwgA 0.41125 0.53075
1a22A 1z4aA 0.41745 0.51502
1a22A 2fg4A 0.41156 0.53157
1a22A 1h96A 0.41031 0.52546
1a22A 2chiA 0.41688 0.52909
1a22A 2gydA 0.41096 0.52951
1a22A 1mfrA 0.40960 0.52833
1a22A 1s3qA 0.39113 0.48750
1a22A 1vlgA 0.41867 0.52106
1a22A 1rcdA 0.41812 0.53148
1a22A 2itbA 0.45927 0.57668
1a22A 1rccA 0.43432 0.53250
1a22A 2cn7A 0.41229 0.53343
1a22A 1bcfA 0.43853 0.54378
1a22A 1aewA 0.40835 0.52680
1a22A 2cluA 0.41268 0.53287
1a22A 1yuzA 0.43470 0.52277
1a22A 1sofA 0.43463 0.54075
1a22A 1yuxA 0.43475 0.52275
1a22A 1jgcA 0.43411 0.53146
1a22A 1fhaA 0.41618 0.52396
1a22A 1n1qA 0.43114 0.53084
1a22A 1krqA 0.42379 0.53164
1a22A 1eumA 0.42241 0.53311
1a22A 1rytA 0.44573 0.56599
1a22A 1umnA 0.42445 0.54107
1a22A 1nf4A 0.43218 0.53990
1a22A 2clbA 0.45272 0.53663
1a22A 2fjcA 0.42277 0.54352
1a7dA 1ji4A 0.46125 0.46125
1a7dA 2bkcA 0.48649 0.56661
1a7mA 1krqA 0.42017 0.50843
1a7mA 2fzfA 0.46697 0.58840
1aewA 1lkiA 0.47263 0.56956
1aewA 1pvhB 0.47540 0.57409
1aewA 1f6fA 0.49907 0.59085
1aluA 2gs4A 0.50250 0.63595
1aluA 2gyqA 0.50613 0.65562
1aluA 2clbA 0.48948 0.64593
1aluA 1n1qA 0.48005 0.62326
1aluA 2ib0A 0.49646 0.65294
1aluA 1mfrA 0.48437 0.57711
1aluA 2cf7A 0.49906 0.62925
1aluA 2chiA 0.47754 0.57918
1aluA 2ffxJ 0.48226 0.58944
1aluA 1bcfA 0.48743 0.63199
1aluA 1jigA 0.48924 0.61423
1aluA 1krqA 0.48551 0.58768
1aluA 1h96A 0.47864 0.57687
1aluA 1gwgA 0.48390 0.57678
1aluA 1vlgA 0.47614 0.58057
1aluA 1z4aA 0.47551 0.57569
1aluA 1umnA 0.46151 0.62819
1aluA 1jgcA 0.47991 0.61118
1aluA 2fg4A 0.48493 0.57220
1aluA 1yuzA 0.51177 0.62378
1aluA 1r03A 0.47671 0.59514
1aluA 1vjxA 0.48158 0.65284
1aluA 2fkzA 0.48844 0.62883
1aluA 2d5kA 0.48104 0.62659
1aluA 1bg7A 0.47102 0.53339
1aluA 1rciA 0.48774 0.59294
1aluA 2cluA 0.48003 0.58155
1aluA 2c41A 0.50233 0.64973
1aluA 2bw1A 0.46174 0.63343
1aluA 1rccA 0.48675 0.59065
1aluA 1sofA 0.48782 0.62717
1aluA 2fjcA 0.49354 0.63723
1aluA 2ah6A 0.39849 0.39849
1aluA 1ji4A 0.50824 0.61200
1aluA 1z6oM 0.48509 0.57232
1aluA 1rytA 0.45546 0.63173
1aluA 2iy4A 0.44579 0.64378
1aluA 1qghA 0.51676 0.63660
1aluA 2bk6A 0.51576 0.64066
1aluA 2bjyA 0.51851 0.64433
1aluA 1o9rA 0.50103 0.64791
1aluA 1wy1A 0.43883 0.55885
1aluA 2bkcA 0.52037 0.63935
1aluA 1ji5A 0.48022 0.60701
1au1A 1vjxA 0.50883 0.60777
1au1A 1r03A 0.46848 0.60236
1ax8A 2gyqA 0.56660 0.68539
1ax8A 2cj4A 0.47776 0.47776
1ax8A 1wy1A 0.45162 0.57933
1ax8A 2g2dA 0.39090 0.57633
1ax8A 2nt8A 0.44627 0.56971
1ax8A 1yuxA 0.54628 0.65000
1ax8A 1rytA 0.49263 0.61238
1ax8A 1rkeB 0.39482 0.39482
1ax8A 1wvtA 0.45249 0.56937
1axiA 2gydA 0.43806 0.53825
1axiA 1jgcA 0.43107 0.54152
1axiA 1gwgA 0.43812 0.53995
1axiA 2ffxJ 0.41400 0.54251
1axiA 2fkzA 0.42289 0.55280
1axiA 1rciA 0.44045 0.54199
1axiA 1aewA 0.43723 0.54153
1axiA 2fg4A 0.41225 0.54154
1axiA 1rcdA 0.43686 0.54296
1axiA 2cluA 0.40695 0.54299
1axiA 1s3qA 0.39306 0.51558
1axiA 1rccA 0.43660 0.54124
1axiA 1bcfA 0.42756 0.55635
1axiA 1z6oM 0.40020 0.52510
1axiA 1fhaA 0.40600 0.53934
1axiA 1mfrA 0.43558 0.54367
1axiA 1vlgA 0.41605 0.53249
1axiA 1eumA 0.40756 0.54790
1axiA 1yuxA 0.44218 0.52862
1axiA 1krqA 0.41406 0.54562
1axiA 2itbA 0.46394 0.59862
1axiA 1mojA 0.45425 0.57818
1axiA 2d5kA 0.44354 0.55199
1axiA 1n1qA 0.43686 0.53666
1axiA 2cf7A 0.42512 0.54778
1axiA 2bw1A 0.43043 0.53433
1axiA 1jreA 0.43217 0.56788
1axiA 2clbA 0.45054 0.54972
1axiA 1jigA 0.44262 0.54214
1axiA 1vjxA 0.43877 0.55853
1axiA 1umnA 0.42806 0.52493
1b5lA 1vjxA 0.51660 0.65088
1b5lA 2gyqA 0.53253 0.66539
1bbhA 1x90A 0.49141 0.59414
1bcfA 1pvhB 0.53993 0.64595
1bg7A 1bgcA 0.50362 0.57815
1bgcA 1z4aA 0.50688 0.63328
1bgcA 1s3qA 0.49086 0.61063
1bgcA 1umnA 0.55405 0.70029
1bgcA 1vlgA 0.50797 0.63450
1bgcA 2fg4A 0.49638 0.63467
1bgcA 1h96A 0.51470 0.66406
1bgcA 2bw1A 0.55440 0.70233
1bgcA 2cluA 0.49306 0.63631
1bgcA 1aewA 0.49492 0.63462
1bgcA 2cn7A 0.51312 0.63785
1bgcA 1rcdA 0.51611 0.63999
1bgcA 1nf4A 0.55877 0.66980
1bgcA 1rccA 0.49534 0.66658
1bgcA 2cf7A 0.55365 0.69232
1bgcA 1jgcA 0.54293 0.63978
1bgcA 2fkzA 0.55480 0.63420
1bgcA 1mojA 0.57105 0.72642
1bgcA 1krqA 0.51030 0.64513
1bgcA 1mfrA 0.51384 0.63513
1bgcA 1jreA 0.56889 0.71616
1bgcA 1dpsA 0.56958 0.71772
1bgcA 1o9rA 0.57529 0.72665
1bgcA 1bcfA 0.55917 0.65809
1bgcA 2chiA 0.48999 0.63154
1bgcA 1rciA 0.49893 0.66938
1bgcA 1f30A 0.56823 0.71740
1bgcA 1fhaA 0.48955 0.62811
1bgcA 1n1qA 0.54272 0.69894
1bgcA 1jigA 0.54579 0.70358
1bgcA 1qghA 0.56136 0.71388
1bgcA 2bk6A 0.56157 0.71527
1bgcA 2d5kA 0.55114 0.71299
1bgcA 2fjcA 0.54883 0.71030
1bgcA 1ji4A 0.51830 0.66821
1bgcA 2fzfA 0.57740 0.74591
1bgcA 2ib0A 0.54662 0.67058
1bgcA 2gs4A 0.56170 0.72404
1bgcA 2gyqA 0.51253 0.72793
1bgcA 1vjxA 0.54535 0.69210
1bgcA 1b71A 0.49507 0.65084
1bgdA 1z4aA 0.49481 0.60988
1bgdA 1s3qA 0.48328 0.59619
1bgdA 1vlgA 0.49736 0.60947
1bgdA 2fkzA 0.54568 0.64130
1bgdA 2fg4A 0.49210 0.64668
1bgdA 2ffxJ 0.49304 0.64650
1bgdA 1nf4A 0.49952 0.64737
1bgdA 2gydA 0.49014 0.64590
1bgdA 1fhaA 0.48358 0.64013
1bgdA 1eumA 0.50604 0.63472
1bgdA 1jgcA 0.53559 0.62863
1bgdA 1krqA 0.49839 0.63005
1bgdA 1gwgA 0.48922 0.62382
1bgdA 1aewA 0.49929 0.63346
1bgdA 1sofA 0.54482 0.64572
